X,CH1,CH2,
Second,Volt,Volt,
1.07320e-02,2.01e+00,6.96e+00,
1.07340e-02,2.01e+00,6.96e+00,
1.07360e-02,2.01e+00,6.96e+00,
1.07380e-02,2.01e+00,6.96e+00,
1.07400e-02,2.01e+00,6.96e+00,
1.07420e-02,2.01e+00,6.96e+00,
1.07440e-02,2.01e+00,7.04e+00,
1.07460e-02,2.01e+00,7.04e+00,
1.07480e-02,2.01e+00,7.04e+00,
1.07500e-02,2.01e+00,7.04e+00,
1.07520e-02,2.01e+00,7.04e+00,
1.07540e-02,2.01e+00,7.12e+00,
1.07560e-02,2.01e+00,7.04e+00,
1.07580e-02,2.01e+00,7.04e+00,
1.07600e-02,2.01e+00,7.04e+00,
1.07620e-02,2.01e+00,7.12e+00,
1.07640e-02,2.01e+00,7.04e+00,
1.07660e-02,2.01e+00,7.12e+00,
1.07680e-02,2.01e+00,7.12e+00,
1.07700e-02,2.01e+00,7.12e+00,
1.07720e-02,2.01e+00,7.20e+00,
1.07740e-02,2.01e+00,7.12e+00,
1.07760e-02,2.01e+00,7.12e+00,
1.07780e-02,2.01e+00,7.12e+00,
1.07800e-02,2.01e+00,7.12e+00,
1.07820e-02,2.01e+00,7.12e+00,
1.07840e-02,2.01e+00,7.12e+00,
1.07860e-02,2.01e+00,7.12e+00,
1.07880e-02,2.01e+00,7.20e+00,
1.07900e-02,2.01e+00,7.20e+00,
1.07920e-02,2.01e+00,7.20e+00,
1.07940e-02,2.01e+00,7.20e+00,
1.07960e-02,2.01e+00,7.28e+00,
1.07980e-02,2.01e+00,7.28e+00,
1.08000e-02,2.01e+00,7.28e+00,
1.08020e-02,2.01e+00,7.28e+00,
1.08040e-02,2.01e+00,7.20e+00,
1.08060e-02,2.01e+00,7.28e+00,
1.08080e-02,2.01e+00,7.28e+00,
1.08100e-02,2.01e+00,7.28e+00,
1.08120e-02,2.01e+00,7.36e+00,
1.08140e-02,2.01e+00,7.36e+00,
1.08160e-02,2.01e+00,7.36e+00,
1.08180e-02,2.01e+00,7.36e+00,
1.08200e-02,2.01e+00,7.36e+00,
1.08220e-02,2.01e+00,7.36e+00,
1.08240e-02,2.01e+00,7.36e+00,
1.08260e-02,2.01e+00,7.36e+00,
1.08280e-02,2.01e+00,7.36e+00,
1.08300e-02,2.01e+00,7.36e+00,
1.08320e-02,2.01e+00,7.36e+00,
1.08340e-02,2.01e+00,7.44e+00,
1.08360e-02,2.01e+00,7.36e+00,
1.08380e-02,2.01e+00,7.44e+00,
1.08400e-02,2.01e+00,7.44e+00,
1.08420e-02,2.01e+00,7.44e+00,
1.08440e-02,2.01e+00,7.44e+00,
1.08460e-02,2.01e+00,7.44e+00,
1.08480e-02,2.01e+00,7.44e+00,
1.08500e-02,2.01e+00,7.44e+00,
1.08520e-02,2.01e+00,7.44e+00,
1.08540e-02,2.01e+00,7.44e+00,
1.08560e-02,2.01e+00,7.44e+00,
1.08580e-02,2.01e+00,7.52e+00,
1.08600e-02,2.01e+00,7.52e+00,
1.08620e-02,2.01e+00,7.52e+00,
1.08640e-02,2.01e+00,7.52e+00,
1.08660e-02,2.01e+00,7.52e+00,
1.08680e-02,2.01e+00,7.52e+00,
1.08700e-02,2.01e+00,7.52e+00,
1.08720e-02,2.01e+00,7.52e+00,
1.08740e-02,2.01e+00,7.52e+00,
1.08760e-02,2.01e+00,7.52e+00,
1.08780e-02,2.01e+00,7.52e+00,
1.08800e-02,2.01e+00,7.60e+00,
1.08820e-02,2.01e+00,7.60e+00,
1.08840e-02,2.01e+00,7.60e+00,
1.08860e-02,2.01e+00,7.60e+00,
1.08880e-02,2.01e+00,7.60e+00,
1.08900e-02,2.01e+00,7.68e+00,
1.08920e-02,2.01e+00,7.68e+00,
1.08940e-02,2.01e+00,7.60e+00,
1.08960e-02,2.01e+00,7.60e+00,
1.08980e-02,2.01e+00,7.60e+00,
1.09000e-02,2.01e+00,7.60e+00,
1.09020e-02,2.01e+00,7.60e+00,
1.09040e-02,2.01e+00,7.68e+00,
1.09060e-02,2.01e+00,7.68e+00,
1.09080e-02,2.01e+00,7.68e+00,
1.09100e-02,2.01e+00,7.68e+00,
1.09120e-02,2.01e+00,7.76e+00,
1.09140e-02,2.01e+00,7.76e+00,
1.09160e-02,2.01e+00,7.76e+00,
1.09180e-02,2.01e+00,7.68e+00,
1.09200e-02,2.01e+00,7.68e+00,
1.09220e-02,2.01e+00,7.76e+00,
1.09240e-02,2.01e+00,7.76e+00,
1.09260e-02,2.01e+00,7.76e+00,
1.09280e-02,2.01e+00,7.68e+00,
1.09300e-02,2.01e+00,7.76e+00,
1.09320e-02,2.01e+00,7.76e+00,
1.09340e-02,2.01e+00,7.84e+00,
1.09360e-02,2.01e+00,7.76e+00,
1.09380e-02,2.01e+00,7.76e+00,
1.09400e-02,2.01e+00,7.76e+00,
1.09420e-02,2.01e+00,7.76e+00,
1.09440e-02,2.01e+00,7.76e+00,
1.09460e-02,2.01e+00,7.76e+00,
1.09480e-02,2.01e+00,7.76e+00,
1.09500e-02,2.01e+00,7.84e+00,
1.09520e-02,2.01e+00,7.84e+00,
1.09540e-02,2.01e+00,7.84e+00,
1.09560e-02,2.01e+00,7.84e+00,
1.09580e-02,2.01e+00,7.84e+00,
1.09600e-02,2.01e+00,7.84e+00,
1.09620e-02,2.01e+00,7.84e+00,
1.09640e-02,2.01e+00,7.92e+00,
1.09660e-02,2.01e+00,7.84e+00,
1.09680e-02,2.01e+00,7.92e+00,
1.09700e-02,2.01e+00,7.92e+00,
1.09720e-02,2.01e+00,7.92e+00,
1.09740e-02,2.01e+00,8.00e+00,
1.09760e-02,2.01e+00,8.00e+00,
1.09780e-02,2.01e+00,8.00e+00,
1.09800e-02,2.01e+00,8.00e+00,
1.09820e-02,2.01e+00,8.00e+00,
1.09840e-02,2.01e+00,7.92e+00,
1.09860e-02,2.01e+00,7.92e+00,
1.09880e-02,2.01e+00,7.92e+00,
1.09900e-02,2.01e+00,8.00e+00,
1.09920e-02,2.01e+00,8.00e+00,
1.09940e-02,2.01e+00,8.00e+00,
1.09960e-02,2.01e+00,8.00e+00,
1.09980e-02,2.01e+00,8.08e+00,
1.10000e-02,2.01e+00,8.08e+00,
1.10020e-02,2.01e+00,8.08e+00,
1.10040e-02,2.01e+00,8.08e+00,
1.10060e-02,2.01e+00,8.00e+00,
1.10080e-02,2.01e+00,8.08e+00,
1.10100e-02,2.01e+00,8.00e+00,
1.10120e-02,2.01e+00,8.08e+00,
1.10140e-02,2.01e+00,8.00e+00,
1.10160e-02,2.01e+00,8.08e+00,
1.10180e-02,2.01e+00,8.08e+00,
1.10200e-02,2.01e+00,8.08e+00,
1.10220e-02,2.01e+00,8.16e+00,
1.10240e-02,2.01e+00,8.16e+00,
1.10260e-02,2.01e+00,8.16e+00,
1.10280e-02,2.01e+00,8.08e+00,
1.10300e-02,2.01e+00,8.16e+00,
1.10320e-02,2.01e+00,8.16e+00,
1.10340e-02,2.01e+00,8.16e+00,
1.10360e-02,2.01e+00,8.16e+00,
1.10380e-02,2.01e+00,8.16e+00,
1.10400e-02,2.01e+00,8.16e+00,
1.10420e-02,2.01e+00,8.24e+00,
1.10440e-02,2.01e+00,8.16e+00,
1.10460e-02,2.01e+00,8.24e+00,
1.10480e-02,2.01e+00,8.24e+00,
1.10500e-02,2.01e+00,8.24e+00,
1.10520e-02,2.01e+00,8.24e+00,
1.10540e-02,2.01e+00,8.24e+00,
1.10560e-02,2.01e+00,8.24e+00,
1.10580e-02,2.01e+00,8.24e+00,
1.10600e-02,2.01e+00,8.24e+00,
1.10620e-02,2.01e+00,8.24e+00,
1.10640e-02,2.01e+00,8.24e+00,
1.10660e-02,2.01e+00,8.24e+00,
1.10680e-02,2.01e+00,8.24e+00,
1.10700e-02,2.01e+00,8.24e+00,
1.10720e-02,2.01e+00,8.24e+00,
1.10740e-02,2.01e+00,8.32e+00,
1.10760e-02,2.01e+00,8.32e+00,
1.10780e-02,2.01e+00,8.32e+00,
1.10800e-02,2.01e+00,8.32e+00,
1.10820e-02,2.01e+00,8.32e+00,
1.10840e-02,2.01e+00,8.40e+00,
