X,CH1,CH2,
Second,Volt,Volt,
1.15683e-01,4.04e-02,7.12e+00,
1.15684e-01,4.04e-02,7.12e+00,
1.15685e-01,4.12e-02,7.12e+00,
1.15686e-01,4.12e-02,7.12e+00,
1.15687e-01,4.08e-02,7.12e+00,
1.15688e-01,4.12e-02,7.12e+00,
1.15689e-01,4.12e-02,7.12e+00,
1.15690e-01,4.08e-02,7.12e+00,
1.15691e-01,4.12e-02,7.12e+00,
1.15692e-01,4.08e-02,7.12e+00,
1.15693e-01,4.04e-02,7.12e+00,
1.15694e-01,4.12e-02,7.20e+00,
1.15695e-01,4.08e-02,7.20e+00,
1.15696e-01,4.04e-02,7.12e+00,
1.15697e-01,4.04e-02,7.20e+00,
1.15698e-01,4.12e-02,7.20e+00,
1.15699e-01,4.12e-02,7.12e+00,
1.15700e-01,4.04e-02,7.20e+00,
1.15701e-01,4.08e-02,7.20e+00,
1.15702e-01,4.16e-02,7.20e+00,
1.15703e-01,4.12e-02,7.20e+00,
1.15704e-01,4.04e-02,7.20e+00,
1.15705e-01,4.08e-02,7.20e+00,
1.15706e-01,4.12e-02,7.20e+00,
1.15707e-01,4.04e-02,7.20e+00,
1.15708e-01,4.08e-02,7.20e+00,
1.15709e-01,4.08e-02,7.20e+00,
1.15710e-01,4.08e-02,7.20e+00,
1.15711e-01,4.12e-02,7.20e+00,
1.15712e-01,4.12e-02,7.20e+00,
1.15713e-01,4.04e-02,7.20e+00,
1.15714e-01,4.12e-02,7.28e+00,
1.15715e-01,4.12e-02,7.28e+00,
1.15716e-01,4.12e-02,7.28e+00,
1.15717e-01,4.04e-02,7.28e+00,
1.15718e-01,4.12e-02,7.28e+00,
1.15719e-01,4.08e-02,7.28e+00,
1.15720e-01,4.12e-02,7.28e+00,
1.15721e-01,4.08e-02,7.28e+00,
1.15722e-01,4.12e-02,7.28e+00,
1.15723e-01,4.12e-02,7.28e+00,
1.15724e-01,4.12e-02,7.28e+00,
1.15725e-01,4.08e-02,7.28e+00,
1.15726e-01,4.12e-02,7.28e+00,
1.15727e-01,4.12e-02,7.28e+00,
1.15728e-01,4.12e-02,7.36e+00,
1.15729e-01,4.08e-02,7.28e+00,
1.15730e-01,4.12e-02,7.28e+00,
